,loss,mae
0,39.874324798583984,2.7843997478485107
1,2.0155277252197266,0.6136943697929382
2,0.2874857485294342,0.21546824276447296
3,0.12170334905385971,0.12133531272411346
4,0.0762767493724823,0.08717295527458191
5,0.054995592683553696,0.07057540863752365
6,0.04252605512738228,0.06121428683400154
7,0.03351002559065819,0.05452475696802139
8,0.026450930163264275,0.04931860789656639
9,0.021101847290992737,0.04521040618419647
10,0.016943806782364845,0.04183598980307579
11,0.013722027651965618,0.039215076714754105
12,0.011086313985288143,0.03648189827799797
13,0.008993919007480145,0.034099940210580826
14,0.0073837642557919025,0.03221573308110237
15,0.006156207527965307,0.0324491485953331
16,0.005146837793290615,0.03052937425673008
17,0.004345787689089775,0.028541769832372665
18,0.003795158350840211,0.028079690411686897
19,0.0033149791415780783,0.026452520862221718
20,0.0029390647541731596,0.025402739644050598
21,0.0027555273845791817,0.026620153337717056
22,0.002393763978034258,0.02222757786512375
23,0.002192421816289425,0.020945049822330475
24,0.0021450575441122055,0.02325231023132801
25,0.0019265300361439586,0.019984541460871696
26,0.001866999315097928,0.020362049341201782
27,0.0018437759717926383,0.021419227123260498
28,0.0016644528368487954,0.018337663263082504
29,0.0015743700787425041,0.017044797539711
30,0.0015164681244641542,0.01663113385438919
31,0.0015785188879817724,0.01885545440018177
32,0.0014442434767261147,0.01695268414914608
33,0.0013489547418430448,0.014111541211605072
34,0.0013157660141587257,0.014282835647463799
35,0.0014157776022329926,0.017575057223439217
36,0.0012623057700693607,0.013781889341771603
37,0.0012335852952674031,0.01315187569707632
38,0.0012670251308009028,0.014896007254719734
39,0.0011701117036864161,0.0123147489503026
40,0.0013171567115932703,0.016247723251581192
41,0.0011264239437878132,0.01179945282638073
42,0.0010960557265207171,0.010734857991337776
43,0.001159629668109119,0.013247737661004066
44,0.0010901866480708122,0.011704480275511742
45,0.0010652506025508046,0.010988312773406506
46,0.0011117685353383422,0.011973305605351925
47,0.001203408231958747,0.014250915497541428
48,0.001030844752676785,0.010773533023893833
49,0.0009971961844712496,0.009219215251505375
